episode,instance_id,epsilon,total_reward,td_diff_mean,td_diff_max,td_diff_min,network_diff,lost_opportunities,final_profit,n_penalties,n_bonuses,remaining_capacity
199,774,0.97660625,3.7538336052202284,0.077749215,0.39652485,0.00048732758,0.0700837,28,11812.0,1,0,46.0
200,576,0.9764875,3.6718061674008813,0.06791962,0.30437398,0.00024914742,0.07091253,29,11669.0,0,0,268.0
201,465,0.97636875,6.681861348528016,0.057783905,0.29576683,0.00016999245,0.07042903,12,21108.0,5,5,40.0
202,416,0.97625,4.164606562599554,0.06505713,0.54805773,0.0004339218,0.06633941,20,12131.0,3,6,24.0
203,209,0.97613125,5.787254901960782,0.05849503,0.31671077,0.0012485981,0.06567906,20,16179.0,0,5,11.0
204,816,0.9760125,4.678582434514637,0.08316507,0.36063763,0.0009160042,0.06561788,26,15182.0,0,0,132.0
205,937,0.97589375,4.735825150459296,0.065355875,0.28357458,0.00041937828,0.06546124,20,14951.0,3,3,46.0
206,926,0.9757750000000001,6.7228629579375845,0.07026322,0.36395228,0.00025475025,0.0661227,20,19819.0,1,1,60.0
207,400,0.97565625,5.627636246372137,0.06971689,0.35784018,5.5789948e-05,0.06578746,16,16521.0,3,6,29.0
208,11,0.9755375,4.167737870195336,0.065299384,0.4940012,0.0035727024,0.06499825,27,12911.0,0,1,25.0
209,671,0.97541875,6.217158176943699,0.08369637,0.7492949,0.00059604645,0.064715214,21,18552.0,1,1,45.0
210,954,0.9753000000000001,4.436458663287933,0.078738675,0.3302747,0.00049972534,0.064687066,23,14953.0,3,0,66.0
211,499,0.97518125,5.565395614871307,0.07618118,0.4052727,0.0007965565,0.06698846,21,17829.0,2,1,36.0
212,873,0.9750624999999999,3.934407872412623,0.08513296,0.37439322,0.00033918023,0.06572523,28,11300.0,0,1,35.0
213,898,0.97494375,5.557980456026058,0.06640219,0.4045434,0.0006330013,0.06448178,22,17063.0,1,1,2.0
214,364,0.974825,5.049207397622193,0.067306876,0.5356362,0.0011045933,0.0673642,26,15289.0,0,0,233.0
215,851,0.97470625,3.85950145678213,0.06714325,0.6785296,0.00019192696,0.070790365,29,11922.0,0,0,414.0
216,731,0.9745875,3.840873634945398,0.106592335,0.63458216,0.0009622574,0.07032513,28,12310.0,0,0,415.0
217,435,0.97446875,5.168413933040244,0.07422406,0.6149386,0.0005774498,0.068952225,26,15283.0,0,0,11.0
218,431,0.97435,6.866351670604118,0.06934148,0.4444199,0.0001847744,0.074489795,22,20345.0,0,0,105.0
219,836,0.97423125,5.334621578099838,0.07572412,0.6104599,0.00037431717,0.07132335,21,15322.0,0,4,16.0
220,71,0.9741125,6.006139777922925,0.071843795,0.70566535,0.00054157525,0.07479351,14,17166.0,3,7,60.0
221,21,0.97399375,8.7958984375,0.07218403,0.6785157,0.0002696514,0.07325811,10,27021.0,4,4,8.0
222,622,0.973875,3.5125578321216127,0.0661805,0.73218906,0.00017249584,0.07198683,31,10629.0,0,0,152.0
223,581,0.97375625,4.679898380438235,0.06480997,0.62820804,0.0014891624,0.07122476,27,14737.0,0,0,33.0
224,112,0.9736375,4.911525423728812,0.06538568,0.37800968,0.00010204315,0.07692087,18,13309.0,3,7,43.0
225,753,0.97351875,4.83552673204682,0.09418753,0.7379689,0.0012569427,0.07464307,23,14969.0,1,2,12.0
226,810,0.9734,5.944461778471138,0.066389896,0.6344961,0.00094002485,0.07221095,20,17770.0,0,4,6.0
227,325,0.97328125,5.927444794952682,0.0757296,0.96818423,0.00042009354,0.07038545,15,19424.0,5,3,22.0
228,89,0.9731625,5.620327868852458,0.076981574,0.63687336,0.0005810261,0.07252183,23,16532.0,0,2,22.0
229,349,0.97304375,3.8015822784810123,0.060839135,0.42132366,2.3841858e-06,0.076282404,16,12645.0,7,5,29.0
230,587,0.972925,5.466962816716025,0.06298175,0.3556552,0.0008559227,0.07343777,23,16918.0,1,0,57.0
231,95,0.97280625,6.245619727449708,0.078090526,0.45951414,0.0008497238,0.072293475,18,17708.0,1,6,17.0
232,423,0.9726875,7.196296296296294,0.057029992,0.47508848,0.000269413,0.073825486,19,21076.0,1,2,6.0
233,861,0.97256875,6.036168787675821,0.054659843,0.31917787,0.00019359589,0.07480463,19,18024.0,2,2,16.0
234,382,0.97245,5.733510992671553,0.07393595,0.5031327,0.0015852451,0.074376464,24,17212.0,0,0,105.0
235,872,0.97233125,3.732923076923077,0.07469692,0.35719204,0.0016078949,0.07881964,26,12782.0,2,0,32.0
236,485,0.9722125,5.272013093289689,0.07018468,0.32562923,0.0016758442,0.077823,26,16106.0,0,0,34.0
237,183,0.97209375,4.735970250169032,0.08600441,0.64129966,0.0026147366,0.07736944,28,14009.0,0,0,100.0
238,905,0.971975,4.743564025409562,0.07333187,0.74277616,0.00089097023,0.07218198,19,14188.0,4,4,7.0
239,756,0.97185625,4.728629579375848,0.06285597,0.32368088,0.00049090385,0.07325326,27,13940.0,0,0,185.0
240,803,0.9717375,2.306999306999307,0.07139338,0.47566855,8.9883804e-05,0.07122549,34,6658.0,0,0,583.0
241,170,0.97161875,4.131010230179028,0.08518484,0.4526102,0.0005977154,0.07105893,23,12609.0,2,3,17.0
242,522,0.9715,5.022530967525945,0.069872625,0.29215318,0.0016443729,0.07128945,15,15301.0,6,5,28.0
243,472,0.97138125,5.532589016294508,0.06482791,0.33090997,0.00038027763,0.07418921,24,18335.0,0,0,159.0
244,755,0.9712625,3.7803256895978734,0.08890784,0.39162004,0.0005927086,0.07333675,29,11375.0,0,0,123.0
245,754,0.97114375,6.043569922698523,0.06996078,0.23966265,0.0009622574,0.06953169,24,17200.0,0,0,102.0
246,437,0.971025,4.868235294117647,0.06929871,0.3344319,0.0010790825,0.06820402,27,14483.0,0,0,315.0
247,365,0.97090625,4.383265856950067,0.069430135,0.27823162,0.0014787912,0.0693168,28,12992.0,0,0,279.0
248,469,0.9707875,5.2590938098276965,0.06440151,0.36250997,0.0007801652,0.065765575,25,16482.0,0,0,360.0
249,898,0.97066875,6.629641693811076,0.07222422,0.348937,0.00052046776,0.06668316,20,20353.0,1,1,57.0
250,962,0.97055,5.362869198312237,0.0907126,0.5738984,0.0031019673,0.06939342,25,16523.0,0,0,88.0
251,952,0.97043125,4.519346230820548,0.05913922,0.28457665,0.0002951622,0.067049034,27,13549.0,0,0,332.0
