episode,step,instance_id,action,reward,lost_opportunities,penalties,bonuses,remaining_capacity
75,45,88,0,0.0,26,0,0,464.0
75,46,88,1,0.35060675631354543,26,0,0,380.0
75,47,88,0,0.0,27,0,0,380.0
75,48,88,0,0.0,28,0,0,380.0
75,49,88,0,0.0,29,0,0,380.0
100,0,672,0,0.0,1,0,0,1252.0
100,1,672,0,0.0,2,0,0,1252.0
100,2,672,1,0.030353018805674696,2,0,0,1240.0
100,3,672,0,0.0,3,0,0,1240.0
100,4,672,0,0.0,4,0,0,1240.0
100,5,672,0,0.0,5,0,0,1240.0
100,6,672,0,0.0,6,0,0,1240.0
100,7,672,0,0.0,7,0,0,1240.0
100,8,672,0,0.0,8,0,0,1240.0
100,9,672,0,0.0,9,0,0,1240.0
100,10,672,1,0.03530188056746948,9,0,0,1207.0
100,11,672,0,0.0,10,0,0,1207.0
100,12,672,0,0.0,11,0,0,1207.0
100,13,672,0,0.0,12,0,0,1207.0
100,14,672,0,0.0,13,0,0,1207.0
100,15,672,1,0.06070603761134939,13,0,0,1176.0
100,16,672,1,0.028703398218409767,13,0,0,1144.0
100,17,672,0,0.0,14,0,0,1144.0
100,18,672,0,0.0,15,0,0,1144.0
100,19,672,0,0.0,16,0,0,1144.0
100,20,672,1,0.061695809963708347,16,0,0,1133.0
100,21,672,1,0.10689541405476741,16,0,0,1098.0
100,22,672,0,0.0,17,0,0,1098.0
100,23,672,1,0.15374463873309138,17,0,0,1033.0
100,24,672,0,0.0,18,0,0,1033.0
100,25,672,1,0.11349389640382712,18,0,0,958.0
100,26,672,0,0.0,19,0,0,958.0
100,27,672,0,0.0,20,0,0,958.0
100,28,672,0,0.0,21,0,0,958.0
100,29,672,1,0.17057076872319366,21,0,0,884.0
100,30,672,1,0.14285714285714285,21,0,0,831.0
100,31,672,0,0.0,22,0,0,831.0
100,32,672,1,0.19267568459254372,22,0,0,789.0
100,33,672,1,0.23358627515671396,22,0,0,692.0
100,34,672,1,0.16430221049158694,22,0,0,604.0
100,35,672,1,0.24150445397558562,22,0,0,507.0
100,36,672,1,0.2946222368855163,22,0,0,478.0
100,37,672,0,0.0,23,0,0,478.0
100,38,672,1,0.3507093368525239,23,0,0,409.0
100,39,672,1,0.2744968657208842,23,0,0,363.0
